city,year,weekofyear,week_start_date,total_cases,T,P,H,V,T_lag1,P_lag1,P_lag2,P_lag3,sin_season,cos_season,i_h,r_h,s_h,s_h_smooth,i_h_smooth,r_h_smooth,ds_h_dt,di_h_dt,dr_h_dt
sj,1990,21,1990-05-21,3,26.77500000020001,9.68,80.3371428571,0.2092857,26.22142857165,37.97,15.71,14.21,0.0,1.0,7.5e-06,0.1000002475,0.8999922524999999,0.8999889237626256,1.070707070707071e-05,0.10000036916666666,3.1695833335732004e-06,-3.3333333333333426e-06,1.6374999997625928e-07
sj,1990,22,1990-05-28,6,27.728571428450017,6.66,80.46,0.239235,26.77500000020001,9.68,37.97,15.71,0.120536680255323,0.992708874098054,1.5e-05,0.1000007425,0.8999842575,0.8999920933459592,7.373737373737367e-06,0.10000053291666663,9.930167750860086e-07,-1.239177489177499e-06,2.461607142706379e-07
sj,1990,23,1990-06-04,2,27.36428571415,24.34,79.8914285714,0.1963293244106625,27.728571428450017,6.66,9.68,37.97,0.2393156642875577,0.970941817426052,5e-06,0.1000009075,0.8999940925,0.8999909097961758,8.228715728715711e-06,0.1000008614880952,-2.492698412570604e-06,2.1031746031745946e-06,3.895238095269482e-07
sj,1990,24,1990-06-11,4,26.742857142650006,16.59,82.0,0.1552607,27.36428571415,24.34,6.66,9.68,0.3546048870425356,0.9350162426854148,1e-05,0.1000012375,0.8999887625,0.8999871079491341,1.1580086580086556e-05,0.10000131196428569,-4.243577742257809e-06,3.753607503607501e-06,4.899702380489757e-07
sj,1990,25,1990-06-18,5,27.375000000200014,86.11,83.3757142857,0.107375,26.742857142650006,16.59,24.34,6.66,0.4647231720437685,0.8854560256532099,1.25e-05,0.10000165000000001,0.89998585,0.8999824226406913,1.5735930735930714e-05,0.1000018414285713,-2.61347673219392e-06,2.0887445887445898e-06,5.247321427995222e-07
sj,1990,26,1990-06-25,10,27.3678571428,20.21,82.7685714286,0.1244490999999999,27.375000000200014,86.11,16.59,24.34,0.5680647467311558,0.8229838658936564,2.5e-05,0.10000247500000001,0.8999725249999999,0.8999818809956697,1.5757575757575736e-05,0.10000236142857129,1.175974025935389e-07,-6.168831168831158e-07,4.992857142865903e-07
sj,1990,27,1990-07-02,6,27.728571428800016,7.755,81.2814285714,0.1524279529315744,27.3678571428,20.21,86.11,16.59,0.6631226582407952,0.7485107481711011,1.5e-05,0.10000297000000001,0.89998203,0.8999826578354965,1.4502164502164482e-05,0.10000283999999987,5.460119047451251e-07,-1.0119047619047593e-06,4.658928571474319e-07
sj,1990,28,1990-07-09,8,27.00000000005001,42.985,81.4671428571,0.1550241249999999,27.728571428800016,7.755,20.21,86.11,0.7485107481711011,0.6631226582407953,2e-05,0.10000363000000001,0.89997637,0.8999829730194792,1.3733766233766217e-05,0.10000329321428558,-3.3446536796266635e-06,2.786796536796533e-06,5.57857142854945e-07
sj,1990,29,1990-07-16,2,27.36428571430001,35.685,82.1442857143,0.271316675,27.00000000005001,42.985,7.755,20.21,0.8229838658936564,0.5680647467311559,5e-06,0.100003795,0.899991205,0.8999759685281372,2.0075757575757548e-05,0.10000395571428558,-5.784345238069033e-06,5.0595238095238e-06,7.248214285715537e-07
sj,1990,30,1990-07-23,6,27.300000000150007,24.54,80.7428571429,0.19093095,27.36428571430001,35.685,42.985,7.755,0.8854560256532099,0.4647231720437686,1.5e-05,0.10000429000000001,0.89998071,0.899971404329003,2.3852813852813817e-05,0.10000474285714273,-6.264339826866916e-06,5.362554112554108e-06,9.017857142828989e-07
sj,1990,31,1990-07-30,17,27.52142857145001,35.129999999999995,80.5842857143,0.2642500857872771,27.300000000150007,24.54,35.685,42.985,0.9350162426854148,0.3546048870425355,4.25e-05,0.1000056925,0.8999518075,0.8999634398484835,3.0800865800865765e-05,0.10000575928571415,-9.700173160154257e-06,8.517316017316004e-06,1.1828571428590395e-06
sj,1990,32,1990-08-06,23,27.76428571450001,20.1,79.65,0.1039556993340382,27.52142857145001,35.129999999999995,24.54,35.685,0.970941817426052,0.239315664287558,5.75e-05,0.10000759000000001,0.8999349099999999,0.8999520039826827,4.0887445887445825e-05,0.10000710857142844,-1.2418409090886318e-05,1.0876623376623354e-05,1.541785714286037e-06
sj,1990,33,1990-08-13,13,27.424999999950018,67.725,84.1785714286,0.1529810644637802,27.76428571450001,20.1,35.129999999999995,24.54,0.992708874098054,0.120536680255323,3.25e-05,0.10000866250000001,0.8999588375,0.8999386030303017,5.255411255411247e-05,0.10000884285714272,-7.467002164474046e-06,5.735930735930728e-06,1.731071428569264e-06
