ds_h_dt,di_h_dt,dr_h_dt
3.787878787298027e-07,-3.7878787878788347e-07,0.0
2.28522727241387e-07,-2.272727272727308e-07,-1.249999992403161e-09
-2.9273989898825903e-08,3.1565656565655176e-08,-2.2916666550520932e-09
-2.0160353575437997e-07,2.020202020202028e-07,-4.1666672195850296e-10
-2.754464289989045e-07,2.678571428571437e-07,7.589285658249345e-09
-2.330573593556373e-07,2.164502164502161e-07,1.6607142855340484e-08
-1.2840367968891544e-07,1.0822510822510808e-07,2.0178571424889213e-08
9.720779226007893e-08,-1.1363636363636347e-07,1.6428571433801942e-08
1.3449675329013644e-07,-1.4610389610389586e-07,1.1607142857972264e-08
-2.016612554722741e-07,1.839826839826837e-07,1.7678571426205103e-08
-2.412716451072328e-07,2.164502164502161e-07,2.4821428579180352e-08
-2.81953463188156e-07,2.489177489177485e-07,3.3035714289142426e-08
-2.622186146550298e-07,2.2186147186147146e-07,4.0357142849778433e-08
7.143939395604093e-08,-1.08225108225108e-07,3.67857142802297e-08
2.986038961094728e-07,-3.246753246753241e-07,2.6071428571583514e-08
5.32911255346491e-07,-5.411255411255403e-07,8.214285716900971e-09
5.228192640482909e-07,-5.140692640692633e-07,-8.75000000233328e-09
-1.0863636357161258e-07,1.1363636363636344e-07,-5.0000000043071155e-09
-4.477759740217913e-07,4.3831168831168763e-07,9.464285716243026e-09
-2.330573593001262e-07,2.164502164502161e-07,1.6607142855340484e-08
-1.284036796334043e-07,1.0822510822510808e-07,2.0178571424889213e-08
-2.0178571480400365e-08,0.0,2.0178571438767e-08
9.161796538093014e-08,-1.0822510822510808e-07,1.6607142869218272e-08
2.069859307840538e-07,-2.164502164502161e-07,9.464285716243026e-09
3.259253246734595e-07,-3.2467532467532417e-07,-1.250000006280949e-09
7.950757574537448e-08,-7.575757575757567e-08,-3.7500000049650595e-09
-1.136363636522475e-07,1.1363636363636344e-07,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
